,ticker,open,close
0,NFLX,430.010009765625,424.68
1,CSCO,50.685001373291016,50.52
2,TM,157.88999938964844,149.99
3,LLY,443.6700134277344,445.4
4,META,274.8800048828125,271.7
5,MSFT,334.4649963378906,334.0
6,UNH,490.8699951171875,492.98
7,PFE,39.66999816894531,39.9
8,GOOGL,124.9800033569336,123.79
9,HD,302.3999938964844,301.58
10,CRM,215.5,214.0
11,WFC,41.68000030517578,41.8
12,WMT,154.52000427246094,154.11
13,TSM,110.0,107.37
14,TMO,525.47998046875,524.1
15,DHR,237.67999267578125,237.6
16,QCOM,124.27999877929688,122.0
17,MA,375.30999755859375,375.6
18,ABBY,9.999999747378752e-06,
19,SBUX,98.51000213623047,98.46
20,BHP,61.290000915527344,59.58
21,TSLA,247.94000244140625,249.83
22,CVX,158.52000427246094,157.18
23,COST,522.02001953125,520.94
24,MRK,108.58999633789062,109.885
25,BABA,87.95999908447266,86.12
26,ORCL,123.31999969482422,120.66
27,JPM,140.47999572753906,141.2
28,BRK-A,507627.0,506200.0
29,AZN,73.94999694824219,73.97
30,UPS,171.30999755859375,171.88
31,SSNLF,40.59989929199219,
32,BRK-B,333.2200012207031,333.67
33,AMD,132.32000732421875,130.2513
34,KO,60.209999084472656,60.2
35,AAPL,182.8000030517578,182.5099
36,NVO,159.13999938964844,158.7
37,ADBE,489.7099914550781,479.0
38,NVDA,401.8599853515625,395.6
39,LIN,364.2300109863281,362.55
40,AVGO,861.1300048828125,859.0
41,MCD,288.5,288.95
42,AMZN,128.1199951171875,127.0
43,XOM,107.37999725341797,106.65
44,PEP,182.1300048828125,182.1
45,NKE,107.13999938964844,106.98
46,ABT,101.48999786376953,101.7
47,LMT,456.010009765625,459.87
48,ACN,315.32000732421875,311.53
49,INTC,33.77000045776367,33.19
50,BAC,29.1299991607666,29.16
51,GE,106.02999877929688,106.01
52,PG,144.50999450683594,145.41
53,NVS,99.73999786376953,100.4
54,ASML,737.219970703125,732.74
55,VZ,35.5,35.64
56,JNJ,159.72999572753906,160.0
57,BMY,64.18499755859375,64.89
58,DIS,94.12000274658203,93.25
